"Name","Team","Games Played","RB PTS%","ATT%","YD%","TD%","TGT%","REC%","YD%","TD%"
"Ronnie Rivers","LAR","17","5.0","5.5","6.2","0.0","1.1","1.4","0.8","0.0"
"Blake Watson","DEN","2","5.0","11.1","6.1","0.0","3.1","2.1","2.8","0.0"
"Keaton Mitchell","BAL","5","4.9","12.1","4.6","0.0","0.8","1.2","2.6","0.0"
"DeeJay Dallas","ARI","17","4.9","2.4","2.7","0.0","0.6","0.8","0.3","4.8"
"Eric Gray","NYG","17","4.5","4.4","2.4","0.0","2.0","2.7","2.3","0.0"
"Mike Boone","CAR","6","4.5","10.9","9.3","0.0","1.7","0.9","-0.2","0.0"
"Jeff Wilson Jr.","MIA","10","4.2","7.3","6.8","0.0","0.9","1.3","0.8","0.0"
"Julius Chestnut","TEN","17","4.1","6.0","6.8","0.0","0.6","0.6","0.3","0.0"
"Travis Homer","CHI","10","3.5","3.4","3.7","0.0","0.9","1.5","0.6","0.0"
"C.J. Ham","MIN","17","3.5","0.5","0.6","14.3","1.2","1.4","0.8","0.0"
"Craig Reynolds","DET","17","3.3","6.5","5.9","0.0","1.0","0.8","0.9","0.0"
"Will Shipley","PHI","16","3.3","7.2","3.7","0.0","1.0","1.4","1.1","0.0"
"Patrick Ricard","BAL","17","3.2","0.0","0.0","5.6","1.1","0.9","0.5","2.4"
"Aaron Shampklin","PIT","3","3.1","9.4","6.6","0.0","0.0","0.0","0.0","0.0"
"Tyrion Davis-Price","PHI","1","3.0","8.1","3.9","0.0","0.0","0.0","0.0","0.0"
"Raheem Blackshear","CAR","16","2.6","4.5","5.3","0.0","0.0","0.0","0.0","0.0"
"Velus Jones Jr.","CHI","3","2.6","60.0","40.7","0.0","1.3","2.1","1.6","0.0"
"Jonathan Ward","PIT","4","2.5","4.8","4.4","0.0","0.0","0.0","0.0","0.0"
