"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"Calvin Austin III","PIT","5","8.6%","2","5.6%","40.0%","0","0.0%","2","3.4%","0","0.0%","0.0%","0","0.0%"
"Elijah Moore","CLE","7","6.9%","4","6.6%","57.1%","0","0.0%","2","2.0%","1","1.6%","50.0%","0","0.0%"
"Joshua Palmer","LAC","7","10.8%","3","7.7%","42.9%","0","0.0%","2","3.1%","1","2.6%","50.0%","0","0.0%"
"Dyami Brown","WAS","4","10.0%","1","3.3%","25.0%","0","0.0%","2","5.0%","0","0.0%","0.0%","0","0.0%"
"Kylen Granson","IND","5","16.1%","3","21.4%","60.0%","0","0.0%","2","6.5%","2","14.3%","100.0%","0","0.0%"
"Brock Wright","DET","4","25.0%","4","30.8%","100.0%","1","50.0%","2","12.5%","2","15.4%","100.0%","1","50.0%"
"Kayshon Boutte","NE","4","5.9%","2","4.7%","50.0%","0","0.0%","2","2.9%","1","2.3%","50.0%","0","0.0%"
"Michael Mayer","LV","7","21.9%","5","23.8%","71.4%","0","0.0%","2","6.3%","1","4.8%","50.0%","0","0.0%"
"Jermaine Burton","CIN","4","28.6%","1","25.0%","25.0%","0","0.0%","2","14.3%","0","0.0%","0.0%","0","0.0%"
"Jahmyr Gibbs","DET","13","20.6%","10","19.2%","76.9%","3","75.0%","2","3.2%","2","3.8%","100.0%","2","50.0%"
"Britain Covey","PHI","2","25.0%","2","28.6%","100.0%","0","0.0%","2","25.0%","2","28.6%","100.0%","0","0.0%"
"Christian Watson","GB","8","15.1%","2","6.9%","25.0%","1","50.0%","2","3.8%","1","3.4%","50.0%","1","50.0%"
"Rashid Shaheed","NO","4","9.8%","2","10.0%","50.0%","0","0.0%","2","4.9%","0","0.0%","0.0%","0","0.0%"
"Davis Allen","LAR","5","38.5%","1","16.7%","20.0%","0","0.0%","2","15.4%","1","16.7%","50.0%","0","0.0%"
"Payne Durham","TB","2","14.3%","2","18.2%","100.0%","2","100.0%","2","14.3%","2","18.2%","100.0%","2","100.0%"
"DeMario Douglas","NE","6","6.9%","4","6.1%","66.7%","1","33.3%","2","2.3%","1","1.5%","50.0%","1","33.3%"
"Quentin Johnston","LAC","12","13.2%","7","12.7%","58.3%","4","50.0%","2","2.2%","2","3.6%","100.0%","2","25.0%"
"Jaleel McLaughlin","DEN","3","11.1%","3","12.5%","100.0%","2","100.0%","2","7.4%","2","8.3%","100.0%","2","100.0%"
